CATEGORY	COLOR	MATERIAL
knitwear	blue	cashmere
shirts	blue	synthetic
backpacks	gray	synthetic
tops	white	
shoulder bags	black	leather
nightwear	blue	
beachwear	blue	
tops	black	
watches	gray	metal
t-shirts	green	
pants	blue	cotton
lace-ups	black	leather
watches	black	
heels	black	
pants	natural	wool
tops	purple	silk
t-shirts	white	cotton
flats	black	leather
knitwear	white	cotton
tops	pink	synthetic
watches	multicolor	leather
earrings	white	
dresses	purple	synthetic
coats	yellow	
skirts	natural	
sweats	white	fleece
underwear	gray	synthetic
shoulder bags	black	
tops	multicolor	
shorts	blue	synthetic
shorts	multicolor	synthetic
totes	yellow	
watches	black	
sunglasses	black	
pants	gray	synthetic
shoulder bags	white	leather
dresses	blue	tulle
skirts	orange	
dresses	natural	
tops	black	flannel
flats	gray	canvas
hats	black	
sweats	black	cotton
knitwear	blue	cashmere
earrings	metallic	
dresses	purple	synthetic
knitwear	pink	wool
heels	black	leather
pants	blue	wool
wallets	brown	
sneakers	white	
dresses	pink	
skirts	black	synthetic
watches	white	metal
hats	red	cotton
tops	white	cotton
scarves	blue	cotton
dresses	black	lace
dresses	blue	
jackets	black	
shorts	blue	rubber
tops	pink	synthetic
t-shirts	blue	
wallets	white	
sweats	red	
tops	blue	
boots	blue	leather
jackets	red	wool
totes	multicolor	suede
sunglasses	brown	
sweats	blue	fleece
shirts	orange	
boots	black	leather
tops	red	
bracelets	white	leather
shorts	blue	synthetic
shoulder bags	black	leather
nightwear	red	silk
totes	red	leather
t-shirts	white	synthetic
knitwear	blue	
sweats	white	
pants	black	cotton
pants	blue	corduroy
dresses	metallic	
sneakers	brown	canvas
sweats	blue	cotton
pants	black	
jackets	natural	synthetic
hats	black	synthetic
jackets	green	synthetic
sunglasses	white	
pants	black	cotton
jackets	gray	synthetic
tops	white	cotton
flats	red	leather
jackets	black	synthetic
t-shirts	blue	
tops	blue	cashmere
tops	blue	denim
lingerie	green	
totes	pink	leather
wallets	multicolor	leather
sneakers	multicolor	canvas
tops	green	
sweats	blue	denim
pants	gray	cotton
flats	black	leather
slip-ons	gray	leather
jackets	blue	
tops	blue	synthetic
sandals	blue	rubber
skirts	orange	synthetic
heels	brown	leather
lingerie	black	
flats	black	leather
hats	blue	synthetic
jackets	blue	wool
sunglasses	blue	
pants	green	denim
slip-ons	black	leather
gloves	blue	wool
t-shirts	gray	cotton
sneakers	yellow	leather
skirts	natural	
bracelets	multicolor	cotton
sweats	gray	wool
coats	blue	wool
tops	black	synthetic
beachwear	multicolor	
hosiery	white	cashmere
dresses	red	synthetic
totes	natural	
pants	white	cotton
tops	blue	cotton
dresses	blue	
t-shirts	white	cotton
jackets	brown	synthetic
sneakers	brown	leather
dresses	red	silk
heels	blue	
boots	green	leather
scarves	pink	synthetic
gloves	blue	
flats	white	
rings	white	
tops	white	
sneakers	gray	
sweats	blue	fleece
tops	white	cotton
knitwear	blue	cotton
sweats	black	cotton
tops	black	synthetic
underwear	orange	
sneakers	purple	
sunglasses	black	
dresses	natural	satin
hats	red	cotton
boots	black	
shorts	blue	cotton
boots	brown	
beachwear	brown	
sweats	red	cotton
earrings	metallic	
jackets	blue	
hats	natural	cotton
sweats	white	synthetic
sunglasses	white	
jackets	natural	
heels	white	leather
sunglasses	green	
jeans	black	denim
flats	pink	leather
t-shirts	gray	cotton
slip-ons	black	leather
t-shirts	black	cotton
flats	white	
sneakers	white	
hats	white	cotton
boots	brown	synthetic
boots	black	
sneakers	natural	
heels	white	
t-shirts	red	synthetic
dresses	pink	satin
gym bags	black	leather
skirts	white	synthetic
jackets	yellow	
pants	white	cotton
belts	white	
knitwear	pink	cotton
knitwear	blue	
heels	metallic	leather
sweats	blue	
beachwear	multicolor	
sunglasses	multicolor	
lingerie	black	silk
jackets	natural	wool
dresses	white	synthetic
beachwear	white	synthetic
dresses	black	
jackets	natural	synthetic
shorts	multicolor	
dresses	black	
skirts	black	velvet
flats	white	synthetic
ties	multicolor	wool
shirts	white	cotton
jeans	blue	denim
skirts	multicolor	
tops	pink	cotton
messenger	blue	synthetic
sunglasses	black	leather
ties	black	silk
tops	blue	synthetic
tops	red	synthetic
heels	white	leather
tops	blue	denim
pants	blue	cotton
sunglasses	brown	
shirts	white	cotton
sunglasses	white	
sunglasses	black	
dresses	yellow	
pants	red	synthetic
pants	blue	
jeans	blue	denim
t-shirts	blue	cotton
t-shirts	black	cotton
jackets	blue	satin
jackets	green	synthetic
earrings	metallic	metal
pants	gray	
underwear	white	cotton
sweats	brown	cotton
sunglasses	black	
tops	green	synthetic
sweats	black	cotton
shorts	green	synthetic
tops	blue	
jeans	green	denim
skirts	gray	synthetic
knitwear	gray	synthetic
sweats	yellow	cotton
sunglasses	black	synthetic
dresses	green	cotton
backpacks	blue	
knitwear	natural	wool
pants	white	linen
t-shirts	green	cotton
earrings	metallic	
jackets	gray	leather
jackets	blue	
tops	gray	
t-shirts	purple	
heels	gray	rubber
tops	black	
dresses	green	synthetic
suits	black	wool
bracelets	metallic	
shorts	gray	
sunglasses	pink	
pants	black	
knitwear	red	wool
boots	black	leather
sunglasses	black	
backpacks	green	synthetic
messenger	blue	leather
jackets	gray	
jackets	blue	
shirts	white	
watches	white	
beachwear	pink	synthetic
boots	natural	leather
tops	brown	velvet
shoulder bags	black	
shirts	blue	cotton
earrings	yellow	
tops	natural	cotton
lingerie	purple	tulle
sunglasses	blue	
pants	blue	synthetic
boots	gray	leather
shirts	blue	cotton
heels	black	synthetic
sneakers	pink	synthetic
jumpsuits	natural	
totes	multicolor	linen
flats	multicolor	leather
heels	black	leather
dresses	gray	
lingerie	red	lace
sunglasses	black	
pants	red	
sneakers	blue	suede
shoulder bags	natural	leather
pants	white	linen
beachwear	blue	synthetic
jeans	blue	denim
sneakers	white	
heels	white	
sweats	gray	fleece
shirts	blue	
skirts	blue	
watches	white	
totes	blue	cotton
wallets	multicolor	
tops	green	synthetic
boots	yellow	rubber
jeans	blue	denim
lingerie	black	neoprene
wallets	black	
heels	blue	leather
dresses	pink	
pants	white	
coats	blue	cotton
jeans	gray	denim
belts	red	
skirts	black	synthetic
tops	multicolor	cotton
messenger	black	
sneakers	brown	
sneakers	black	suede
dresses	purple	
sweats	black	fleece
pants	black	velvet
pants	blue	
boots	red	leather
beachwear	purple	synthetic
heels	black	
flats	black	leather
sweats	black	cotton
tops	pink	cotton
heels	metallic	
pants	blue	synthetic
jeans	multicolor	denim
beachwear	red	synthetic
cufflinks	multicolor	metal
t-shirts	blue	cotton
coats	gray	
skirts	black	cotton
t-shirts	black	cotton
jeans	blue	denim
clutches	black	
tops	blue	
boots	white	leather
knitwear	multicolor	wool
sweats	black	suede
sunglasses	natural	
sandals	black	
sweats	white	
wallets	brown	leather
knitwear	multicolor	cotton
tops	blue	synthetic
dresses	black	lace
heels	black	
knitwear	natural	
sweats	natural	fleece
dresses	blue	
sandals	black	
shoulder bags	black	leather
rings	metallic	metal
sneakers	white	
belts	blue	leather
luggage	blue	synthetic
skirts	red	
t-shirts	green	cotton
t-shirts	white	cotton
lingerie	natural	synthetic
scarves	black	silk
jackets	black	synthetic
lingerie	black	synthetic
dresses	yellow	
tops	natural	
sweats	gray	cotton
sweats	white	cotton
hats	black	synthetic
tops	pink	
tops	brown	denim
scarves	black	
dresses	black	
sneakers	multicolor	canvas
t-shirts	green	cotton
tops	white	silk
boots	brown	leather
dresses	yellow	synthetic
shoulder bags	black	suede
sneakers	black	
knitwear	red	cotton
dresses	blue	synthetic
t-shirts	white	cotton
satchels	black	
dresses	black	cotton
sweats	black	cotton
crossbody bags	green	
shoulder bags	natural	leather
heels	multicolor	
sunglasses	black	synthetic
tops	gray	silk
rings	pink	metal
tops	black	cotton
sunglasses	black	
sneakers	white	suede
boots	natural	
rings	metallic	
shoulder bags	natural	leather
knitwear	brown	
tops	black	satin
sneakers	black	cotton
sweats	white	fleece
pants	blue	
wallets	white	leather
necklaces	metallic	
jackets	brown	
pants	pink	synthetic
wallets	brown	
slip-ons	black	
beachwear	green	
shorts	black	
beachwear	yellow	
nightwear	purple	synthetic
tops	white	
sweats	green	cotton
jackets	white	cotton
t-shirts	black	synthetic
shoulder bags	blue	leather
suits	blue	cotton
belt bags	black	leather
suits	gray	
shorts	black	cotton
lingerie	black	
heels	white	
dresses	white	
tops	multicolor	
tops	white	
sneakers	white	leather
dresses	multicolor	cotton
flats	black	suede
earrings	white	metal
t-shirts	white	cotton
jackets	black	synthetic
lingerie	black	lace
tops	green	synthetic
hair	multicolor	
jackets	black	
knitwear	white	
skirts	green	
shirts	blue	cotton
backpacks	black	
boots	black	suede
belts	red	leather
bracelets	metallic	
shorts	white	cotton
jackets	black	synthetic
shorts	white	linen
shirts	white	
pants	black	cotton
pants	green	wool
skirts	black	synthetic
t-shirts	white	cotton
jackets	black	
t-shirts	black	cotton
boots	black	leather
earrings	white	metal
shorts	natural	denim
flats	brown	synthetic
shirts	gray	cotton
t-shirts	green	cotton
belt bags	black	
flats	brown	leather
tops	white	cotton
beachwear	black	synthetic
nightwear	blue	cotton
boots	green	synthetic
tops	red	cotton
tops	white	synthetic
pants	natural	linen
skirts	white	
shirts	white	cotton
rings	metallic	
tops	black	flannel
heels	black	leather
dresses	gray	
heels	yellow	leather
pants	black	
tops	black	
totes	black	leather
t-shirts	black	
sneakers	gray	suede
sneakers	black	denim
scarves	orange	silk
knitwear	blue	cashmere
ties	black	silk
t-shirts	white	rubber
watches	gray	
beachwear	black	synthetic
shoulder bags	black	denim
scarves	pink	silk
flats	multicolor	leather
shorts	gray	linen
sneakers	black	
bracelets	natural	metal
shirts	gray	cotton
beachwear	white	synthetic
dresses	black	
sneakers	white	
dresses	blue	silk
knitwear	gray	wool
shorts	multicolor	silk
heels	blue	silk
beachwear	metallic	
pants	pink	synthetic
flats	black	leather
t-shirts	blue	cotton
sweats	green	fleece
pants	natural	velvet
sweats	brown	synthetic
shorts	white	cotton
t-shirts	black	
knitwear	green	
rings	metallic	
jackets	multicolor	denim
jumpsuits	multicolor	satin
heels	white	
dresses	green	
hats	multicolor	canvas
dresses	pink	lace
totes	black	leather
sneakers	black	
sweats	red	synthetic
coats	natural	canvas
jeans	blue	denim
dresses	black	
flats	red	
t-shirts	gray	cotton
flats	white	synthetic
flats	brown	
jackets	black	synthetic
boots	red	leather
t-shirts	green	cotton
knitwear	natural	
sweats	blue	cotton
jackets	black	synthetic
necklaces	metallic	
knitwear	multicolor	
t-shirts	blue	cotton
sunglasses	blue	
sneakers	red	leather
sneakers	white	
coats	multicolor	
jackets	blue	goose
knitwear	multicolor	
jackets	black	fleece
beachwear	multicolor	
t-shirts	black	cotton
boots	black	leather
tops	green	
watches	pink	
tops	metallic	linen
earrings	metallic	
boots	black	leather
t-shirts	black	
sneakers	black	
jackets	green	
hats	gray	synthetic
knitwear	brown	cotton
t-shirts	white	cotton
tops	blue	synthetic
necklaces	multicolor	
earrings	metallic	metal
earrings	metallic	
sneakers	white	
flats	metallic	leather
wedding guest dresses	wedding guest dresses	wedding guest dresses
jordan 4	jordan 4	jordan 4
colorful sneakers	colorful sneakers	colorful sneakers
long yellow dress	long yellow dress	long yellow dress
